NID	PE	ING	AL	AD	V	A	O	D
665	1	41767	9238	3078	0	0	0	45
666	4	39970	9140	3343	1	0	0	45
667	3	34968	7760	3800	0	1	0	45
668	4	49027	10543	4805	0	1	0	45
669	2	40864	7775	4201	1	1	0	45
670	4	35640	7080	3330	1	0	0	45
671	4	48637	9994	6452	1	0	0	45
672	1	39844	8439	3974	0	0	0	45
673	4	46187	8285	3323	1	0	0	45
674	3	38419	8566	2982	1	0	0	45
675	1	38528	7557	3917	1	1	0	45
676	2	42816	9168	4235	1	0	0	46
677	5	44001	7512	4606	1	1	0	46
678	4	41652	7757	4087	1	0	0	46
679	2	46791	9168	5042	1	1	1	46
680	4	43465	8351	2929	1	1	0	46
681	4	45672	8520	5032	0	0	0	46
682	4	41309	8432	3476	1	1	1	46
683	4	42010	8418	2822	1	1	0	46
684	2	45244	8347	4946	1	0	0	46
685	3	36208	7326	4443	1	0	0	46
686	2	43098	8930	4572	1	0	0	46
687	1	42089	8266	5284	1	1	0	46
688	2	35257	7866	3896	0	0	0	46
689	2	34520	6969	4085	0	0	0	46
690	3	47039	9915	4129	1	1	0	46
691	4	38086	6501	3655	1	0	0	46
692	2	33523	6855	3763	0	0	1	46
693	2	45132	9408	3981	0	0	0	46
694	4	42900	7852	4601	0	1	1	46
695	4	41193	7164	4571	1	0	1	46
696	2	41713	7231	3831	1	0	0	47
697	2	30983	5989	3478	0	0	0	47
698	4	44962	9482	5015	1	0	0	47
699	2	45053	8601	4294	0	0	0	47
700	2	37291	7535	3082	1	0	0	47
701	5	42045	8697	4943	1	1	0	47
702	4	44527	7614	5362	1	0	0	47
703	1	40589	7065	4910	0	0	1	47
704	5	39005	8737	4950	1	0	0	47
705	4	44419	8315	6462	1	0	0	47
706	2	43626	9210	3923	0	1	0	48
707	2	40547	7697	3075	1	1	0	48
708	3	34669	7543	3243	1	1	0	48
709	4	44614	8329	5406	1	0	1	48
710	4	48354	10387	5102	1	1	0	48
711	4	30928	6040	2413	1	0	0	48
712	3	32156	6314	2716	1	1	0	48
713	4	48688	9904	4883	0	1	1	48
714	6	40267	7792	3037	1	0	1	48
715	3	36503	7378	4633	1	0	0	48
716	2	44565	9091	4289	1	0	0	48
717	3	40931	8075	4345	1	0	0	48
718	1	39287	7243	4106	0	1	0	48
719	3	42604	8406	4588	0	1	1	48
720	3	40474	7277	4497	0	1	0	48
721	2	31802	7306	3089	0	0	0	49
722	2	46550	9411	4135	1	0	0	49
723	5	35362	6222	3396	0	1	0	49
724	5	30231	7174	3295	1	1	0	49
725	1	44779	9240	4824	1	1	0	49
726	4	40626	8744	4721	0	1	0	49
727	2	47597	10350	4022	0	1	0	49
728	1	34227	6664	4254	0	1	0	49
729	3	31825	6022	3595	1	0	0	49
730	2	30564	6107	2854	0	0	0	49
731	3	37537	7560	4758	0	0	0	49
732	2	34063	7329	3731	0	0	0	49
733	2	42161	8834	3987	1	0	0	49
734	3	39183	7840	3710	1	1	1	49
735	4	37556	8183	4208	0	0	0	49
736	3	37580	8173	3356	1	1	0	49
737	3	34017	6993	3349	0	1	0	49
738	2	35060	6986	3776	0	0	0	49
739	4	35121	7143	3177	0	0	0	49
740	4	33661	6218	3250	1	0	0	49
741	4	44070	8872	4519	1	0	0	50
742	4	36647	8087	4270	1	1	0	50
743	4	38134	7647	4062	1	0	0	50
744	2	42767	7808	3848	1	0	0	50
745	5	34236	6843	2862	0	1	0	50
746	3	36948	7217	3593	1	1	0	50
747	1	41851	7955	3008	0	0	0	50
748	4	44128	8860	4169	1	1	0	50
749	3	40516	8164	4157	0	0	0	50
750	2	37207	8285	4345	1	0	0	50
751	1	54576	11374	5685	1	1	0	51
752	2	35527	7184	4193	1	0	0	51
753	2	38585	8305	2409	0	0	0	51
754	1	38035	8171	4172	1	1	1	51
755	2	34313	7309	2688	0	0	0	51
756	2	41631	8525	3640	0	0	0	51
757	4	40796	8341	4572	1	0	0	51
758	3	36413	7447	3960	1	1	0	51
759	2	38554	8063	4136	1	1	0	51
760	4	46780	8837	4967	0	1	0	51
761	4	39310	9369	4768	1	1	0	51
762	4	37018	7466	3672	0	0	0	51
763	2	44410	9444	3677	0	0	0	51
764	2	38200	8565	4076	0	0	0	51
765	3	45018	8197	4499	0	1	0	51
766	2	31296	6203	2892	1	0	0	52
767	1	41252	7478	3474	1	0	0	52
768	4	35555	6559	3565	1	1	0	52
769	4	36952	7386	4468	1	1	0	52
770	4	47729	10325	4724	1	1	0	52
771	1	38068	7083	3827	0	1	0	52
772	1	47787	8601	5356	1	1	0	52
773	5	46877	8341	4959	0	1	0	52
774	3	36735	7633	3733	1	1	0	52
775	1	47705	10669	4438	1	0	1	52
776	4	43177	9592	5167	1	0	0	52
777	3	33741	6975	2944	1	1	0	52
778	2	43625	8487	4937	1	1	0	52
779	1	45200	9154	2702	1	0	0	52
780	4	43568	8377	4438	1	0	1	52
781	1	42676	8966	3944	1	0	0	52
782	5	48075	9753	5056	1	1	0	52
783	4	37379	7087	3504	1	0	1	52
784	4	43687	8760	4232	1	1	0	52
785	3	48244	9932	5355	0	1	1	52
786	3	38530	8682	3932	0	0	0	53
787	4	40913	8282	4533	1	0	0	53
788	3	46498	8909	4958	0	0	0	53
789	5	36599	8159	3749	1	1	0	53
790	3	34993	7002	3726	0	1	1	53
791	1	36015	8118	3946	1	1	0	53
792	1	50531	8924	4579	1	0	0	53
793	2	41268	7602	3550	1	0	0	53
794	4	38627	8154	4098	1	1	0	53
795	2	47974	9769	4754	1	1	0	53
796	1	55118	10424	6990	1	0	0	54
797	2	42236	7495	4362	1	0	0	54
798	2	31615	6142	3066	1	1	0	54
799	4	48708	9506	5930	1	0	0	54
800	1	44482	8048	5015	1	1	0	54
801	4	43007	8891	4786	1	0	0	54
802	1	35702	7305	3712	0	0	0	54
803	2	30518	5534	3723	1	1	0	54
804	4	51606	10328	5368	1	0	0	54
805	6	30357	7298	2772	1	0	0	54
806	3	37882	9092	3921	0	0	0	54
807	1	39246	7322	4053	0	1	1	54
808	5	37825	7854	4119	0	0	0	54
809	2	36438	7515	3161	0	1	0	54
810	4	46634	9580	4618	0	0	0	54
811	4	34008	6408	3376	0	1	0	55
812	2	34084	6352	4633	0	1	0	55
813	2	42935	8482	4053	1	1	1	55
814	3	37173	8033	3315	0	0	0	55
815	4	35697	6668	3075	1	1	0	55
816	1	34784	7441	4278	1	1	0	55
817	2	51969	11795	5613	1	0	1	55
818	4	39139	7600	4096	1	0	0	55
819	3	31449	7343	3061	1	0	0	55
820	4	40173	7221	3828	0	0	0	55
821	2	38415	7681	3398	1	1	0	55
822	4	35164	7693	3978	0	1	0	55
823	4	44188	8950	3389	0	0	0	55
824	2	41769	9045	4498	1	0	0	55
825	4	49818	9358	4440	0	1	0	55
826	4	36162	6995	3567	1	0	1	55
827	2	45772	10097	5045	0	0	0	55
828	3	37430	7255	3504	0	1	0	55
829	1	39201	7973	3059	0	1	0	55
830	4	46327	10344	5212	1	1	0	55
831	3	34943	6970	3811	1	0	0	56
832	2	39794	8342	4865	1	0	0	56
833	5	43818	8793	3418	0	0	0	56
834	3	40031	8009	4562	1	1	0	56
835	5	33901	6764	3244	1	1	0	56
836	3	35299	6474	2873	1	1	1	56
837	3	46006	8357	4465	1	0	0	56
838	1	45692	9492	4325	1	0	0	56
839	6	44650	8946	3842	1	0	0	56
840	2	35924	7209	4047	1	0	0	56
841	3	33720	7209	2379	0	1	0	57
842	2	30904	6062	2796	1	0	0	57
843	2	48324	9922	3920	1	0	0	57
844	4	31544	7083	3111	0	0	1	57
845	5	41145	8392	3713	1	1	0	57
846	1	42550	9749	5066	1	1	0	57
847	2	35553	7823	3814	0	1	0	57
848	1	36046	7713	4102	1	1	0	57
849	3	36386	7264	4415	1	1	0	57
850	2	48489	8645	5060	0	0	0	57
851	5	37600	7080	4239	0	0	0	57
852	2	38899	7847	4130	0	1	0	57
853	2	45043	9826	4612	1	0	0	57
854	3	38727	8563	2973	0	0	1	57
855	5	43274	9989	4713	0	1	0	57
856	3	38186	7955	4529	0	1	0	58
857	2	42718	8827	4529	1	0	0	58
858	2	40697	8398	4314	0	0	0	58
859	4	40622	9080	4425	1	0	0	58
860	4	33478	6613	3611	0	0	1	58
861	1	39737	6907	3825	0	0	0	58
862	2	43437	9508	4420	1	0	0	58
863	4	38354	7511	3591	0	1	0	58
864	1	49885	8754	5797	1	0	0	58
865	1	45532	9469	5790	1	0	1	58
866	3	40162	7957	4300	0	0	1	58
867	3	47216	8585	5253	1	1	0	58
868	2	42509	8383	3930	1	0	0	58
869	3	41892	7283	3681	0	1	0	58
870	5	36832	8820	3522	1	0	0	58
871	1	41639	9077	3814	1	0	0	58
872	1	40169	7759	4341	1	0	0	58
873	2	47814	10428	4246	1	0	0	58
874	3	30999	6688	3300	0	1	0	58
875	1	41095	8204	3412	1	1	0	58
876	5	42802	7833	4807	0	0	0	59
877	2	43735	9732	5710	0	1	0	59
878	5	41540	8734	4447	1	0	0	59
879	3	42386	9822	3967	1	0	1	59
880	2	38405	7638	4526	0	0	0	59
881	1	41654	8503	3334	0	0	0	59
882	3	40421	7619	4317	1	1	0	59
883	3	39218	7562	2840	0	0	0	59
884	1	31331	6130	3546	0	1	0	59
885	3	36005	7614	4257	1	0	0	59
886	2	42314	8123	3592	1	1	1	60
887	5	39338	8052	4626	1	1	0	60
888	4	37807	8236	4587	1	1	0	60
889	2	44295	8864	4752	1	1	1	60
890	3	37261	6633	3629	1	1	0	60
891	3	40146	8270	3657	1	0	0	60
892	2	45338	9552	3709	1	1	0	60
893	5	40740	8350	3603	1	1	0	60
894	4	32042	7141	2593	0	0	0	60
895	2	41521	8897	4769	1	1	0	60
896	1	46890	9266	5402	1	0	0	60
897	4	37570	7630	4152	0	0	1	60
898	2	38659	7022	4407	1	0	1	60
899	4	43030	8885	4725	1	0	0	60
900	1	45791	10396	5655	1	0	0	60
901	1	38700	7661	4157	0	0	0	61
902	3	38396	6367	4251	1	0	0	61
903	5	38117	8061	4032	0	1	0	61
904	5	32947	7216	3404	1	0	0	61
905	4	33032	7094	4053	0	0	0	61
906	1	34237	7510	2788	1	1	0	61
907	3	37902	7737	3526	0	0	1	61
908	2	31116	6622	3753	0	1	0	61
909	1	38288	7691	3544	1	0	0	61
910	4	37997	7797	3484	1	0	0	61
911	2	40671	8248	3953	1	0	0	61
912	5	36064	7535	2211	1	0	0	61
913	1	36073	7150	4350	1	1	0	61
914	4	44907	9892	4157	1	0	0	61
915	6	36133	7090	3369	1	0	1	61
916	1	34791	7730	3736	1	1	0	61
917	3	45716	9320	3787	0	1	0	61
918	3	39546	8143	3431	1	1	0	61
919	1	44595	8973	4717	1	0	0	61
920	2	36082	8372	3658	1	0	0	61
921	1	44690	9138	4871	1	0	0	62
922	5	34927	7749	3879	0	1	0	62
923	1	39979	7638	4904	1	0	0	62
924	2	33160	6231	3839	1	1	0	62
925	2	39798	8285	4470	0	1	0	62
926	4	37896	7864	3518	1	0	0	62
927	2	44111	8985	3407	0	0	1	62
928	2	36449	6897	3145	1	0	0	62
929	5	42601	7943	5293	1	0	0	62
930	4	34481	6196	3862	1	1	0	62
931	4	44461	8796	4457	1	1	0	63
932	3	37363	8509	3792	1	0	0	63
933	2	43773	8173	4961	1	0	0	63
934	3	38613	7566	4604	1	1	0	63
935	1	42529	8976	4418	1	1	0	63
936	2	44076	9475	5383	0	0	0	63
937	3	51069	11280	4939	0	1	0	63
938	1	42670	7875	4074	1	1	0	63
939	5	35069	7382	3981	0	0	0	63
940	3	40190	8952	4309	0	1	0	63
941	4	35595	6910	3884	1	0	1	63
942	4	43272	9507	5328	0	1	1	63
943	4	40324	8235	3207	1	0	0	63
944	2	37267	8179	3742	0	1	0	63
945	3	36060	6745	4249	0	0	0	63
946	5	40764	6833	3846	0	0	0	64
947	3	31474	6673	3315	1	0	1	64
948	1	42129	8588	3539	1	1	1	64
949	3	40712	8732	3776	0	0	0	64
950	1	45535	9024	4902	0	1	0	64
951	3	42720	8768	4057	1	0	0	64
952	1	34539	6725	2551	1	1	0	64
953	4	43668	9102	4222	1	0	0	64
954	2	38623	7590	2819	0	0	1	64
955	2	46482	7796	4674	1	1	0	64
956	2	37080	8142	3819	1	1	0	64
957	4	46564	9713	4829	1	0	1	64
958	3	39261	7762	3655	0	1	0	64
959	2	47052	9350	5737	1	0	0	64
960	2	43200	9141	4379	1	0	0	64
961	1	42036	9228	4461	1	0	0	64
962	2	35688	7073	3819	0	0	0	64
963	2	39879	8065	4152	1	0	0	64
964	4	33484	6011	4241	0	0	0	64
965	3	41473	7477	3459	0	0	0	64
966	2	36833	7024	4252	1	0	0	65
967	3	39537	8489	3289	1	0	0	65
968	4	41608	8675	4620	1	0	0	65
969	1	34287	7328	3425	0	0	0	65
970	5	31273	5908	3783	0	0	0	65
971	2	39284	7467	4507	1	0	0	65
972	4	40956	9253	3646	0	1	0	65
973	1	40177	8797	5051	1	1	0	65
974	1	44257	9921	5451	1	0	0	65
975	4	44707	9239	3773	0	0	0	65
976	3	35410	7586	3594	1	0	1	66
977	3	35950	6733	4437	1	1	0	66
978	3	41238	9413	3687	0	0	0	66
979	1	38627	8182	3162	1	0	0	66
980	3	50229	10545	6184	0	1	0	66
981	3	41567	7536	3520	1	0	0	66
982	2	36341	7224	4405	1	0	0	66
983	1	44476	9542	5776	0	1	0	66
984	6	43970	9133	5345	1	1	0	66
985	4	40127	8002	4247	0	1	0	66
986	4	34215	7755	2116	1	0	0	66
987	2	35298	8130	4052	1	1	0	66
988	3	42374	8125	4279	0	0	0	66
989	2	41458	8241	4000	1	0	0	66
990	1	43695	8493	5030	0	1	0	66
991	2	40605	8092	3680	0	0	0	67
992	1	40173	9581	4727	0	1	0	67
993	5	39011	8030	3131	1	0	0	67
994	3	41724	8410	4219	0	0	0	67
995	3	38231	7089	2960	1	0	0	67
996	2	41731	8494	3783	1	0	0	67
997	3	39741	8535	5030	1	0	0	67
998	1	50964	10135	5288	1	1	1	67
999	2	38742	7447	3798	1	0	1	67
1000	2	35071	7379	3720	1	0	0	67
1001	2	37583	7541	3538	1	0	0	67
1002	3	46924	8774	5179	0	1	0	67
1003	2	30615	6748	3450	0	1	1	67
1004	3	38928	8156	4450	1	1	0	67
1005	4	46794	10192	5981	0	1	0	67
1006	3	37056	7916	3181	0	1	0	67
1007	3	31688	5763	2655	0	0	0	67
1008	3	36181	7014	4530	1	1	0	67
1009	1	44991	7782	4121	0	0	0	67
1010	3	45305	8298	4948	0	1	0	67
1011	1	45265	10159	3924	1	0	0	68
1012	3	36671	6518	3023	0	1	0	68
1013	3	44347	9761	5551	0	0	0	68
1014	3	30547	5929	2997	1	0	0	68
1015	2	37950	7845	3065	1	0	1	68
1016	3	31604	6306	2450	0	1	0	68
1017	2	38557	8023	4333	0	0	0	68
1018	2	44340	8969	4922	0	1	0	68
1019	2	37932	7951	4909	1	0	1	68
1020	2	45076	7924	4690	1	1	0	68
1021	3	40863	8070	3768	0	0	0	69
1022	3	43008	9361	4367	1	1	0	69
1023	2	35170	7868	3184	1	0	0	69
1024	2	38825	7214	3294	1	0	1	69
1025	1	46947	10649	3818	0	0	0	69
1026	1	32789	6491	3390	0	0	0	69
1027	2	45665	8678	4739	0	1	0	69
1028	2	41138	8659	4746	1	0	0	69
1029	1	37364	6480	3286	1	1	0	69
1030	4	46492	10173	4190	0	1	0	69
1031	4	41986	8388	3420	0	0	0	69
1032	3	40862	8507	4106	1	1	0	69
1033	6	44227	9623	3987	1	0	0	69
1034	4	35091	6582	3724	1	1	0	69
1035	2	37274	8266	3707	1	0	0	69
1036	1	37443	7977	4052	1	0	0	70
1037	3	31811	7338	2174	0	0	0	70
1038	3	37698	7200	4089	0	1	0	70
1039	5	34870	7365	3129	0	0	0	70
1040	1	47945	9084	4431	1	1	0	70
1041	2	40766	8718	4316	0	1	0	70
1042	1	33357	6715	3342	1	0	0	70
1043	5	35789	7779	2541	0	0	0	70
1044	3	46974	10197	5301	0	0	0	70
1045	2	35639	8023	3259	1	1	0	70
1046	2	33085	7613	3814	1	1	0	70
1047	5	41211	8904	4709	1	0	0	70
1048	5	45449	9731	2964	1	0	0	70
1049	3	55379	11575	5700	0	0	0	70
1050	4	30612	5434	3386	1	1	0	70
1051	3	37172	7960	4071	1	1	0	70
1052	2	34166	6724	3722	1	0	0	70
1053	4	46520	9253	4944	1	1	0	70
1054	1	40243	8292	3638	1	0	0	70
1055	6	38657	8005	4654	1	1	0	70
1056	5	43071	9423	3043	1	0	0	71
1057	3	43727	9261	4759	1	1	1	71
1058	3	40289	7983	3949	0	1	0	71
1059	6	50273	8675	5190	0	0	0	71
1060	3	42209	8888	3836	1	0	0	71
1061	2	47392	9824	4299	1	1	0	71
1062	4	35507	7803	3054	1	0	0	71
1063	3	45693	9233	4896	0	0	0	71
1064	2	40258	8134	3512	1	1	0	71
1065	2	37969	7737	3946	0	0	0	71
1066	2	46969	9706	5125	1	0	0	72
1067	1	53049	9230	4863	0	1	0	72
1068	2	46606	8354	5659	0	1	0	72
1069	4	41734	8715	4288	0	0	0	72
1070	3	47826	9482	4839	0	0	0	72
1071	3	48484	8560	5017	0	0	0	72
1072	2	39415	7763	3020	1	1	0	72
1073	2	46539	9548	4677	0	0	1	72
1074	6	45221	9332	3047	1	0	0	72
1075	1	39597	8647	4266	1	1	0	72
1076	1	36407	6965	3150	1	0	0	72
1077	3	43592	9821	4974	0	0	0	72
1078	4	38494	7463	3776	0	0	1	72
1079	1	42697	8570	2897	1	1	1	72
1080	1	34563	6588	3543	1	0	0	72
1081	3	45132	10377	4137	1	0	0	73
1082	4	44129	9320	4582	1	0	0	73
1083	3	31532	6040	3328	1	1	0	73
1084	3	35065	6578	3193	1	0	0	73
1085	2	44176	8902	4369	0	0	0	73
1086	1	43698	8687	4287	1	1	0	73
1087	2	32699	6652	3468	0	0	0	73
1088	1	42001	8172	4059	1	1	0	73
1089	3	35559	7864	3681	1	0	0	73
1090	3	36026	7053	3895	1	0	0	73
1091	4	41061	8657	3601	1	0	0	73
1092	3	43033	8859	4796	0	0	0	73
1093	1	34387	6612	3929	0	0	0	73
1094	3	49053	10022	4596	0	1	0	73
1095	4	37215	7485	3702	1	0	0	73
1096	3	34306	5750	3925	1	0	0	73
1097	3	32824	6602	3475	1	0	0	73
1098	3	39835	8504	3248	1	0	1	73
1099	2	39875	7573	3817	1	0	0	73
1100	5	43909	8753	4115	1	1	0	73
1101	2	43395	8370	4764	1	0	0	74
1102	3	40430	7606	4429	1	1	0	74
1103	5	37433	6628	3772	1	0	0	74
1104	4	40138	8232	5409	1	0	0	74
1105	1	39720	7087	3612	0	0	0	74
1106	2	38141	7554	3883	1	0	0	74
1107	3	36122	6796	3806	1	0	0	74
1108	3	47643	8897	4702	1	0	0	74
1109	4	33216	7002	4178	1	1	0	74
1110	2	40960	7854	3870	1	0	0	74
1111	5	36998	6600	3844	1	1	0	75
1112	3	31159	5392	2893	0	0	0	75
1113	1	35906	7306	4173	1	0	0	75
1114	1	37326	7365	3752	1	1	0	75
1115	3	43255	8653	3327	1	0	0	75
1116	5	34654	6138	3850	1	0	0	75
1117	3	34029	7685	4520	1	0	0	75
1118	5	48640	10286	4302	1	0	0	75
1119	4	35055	6960	3199	1	0	0	75
1120	1	36818	8380	3366	0	0	0	75
1121	1	37146	8045	4161	0	0	1	75
1122	3	37969	7958	4397	1	0	0	75
1123	4	39067	8990	4058	1	0	0	75
1124	3	43844	10450	4116	1	0	0	75
1125	2	37409	6204	2827	1	0	0	75
1126	5	48380	8974	4229	0	1	1	76
1127	4	44907	8840	3407	1	0	0	76
1128	1	35422	7170	3247	1	0	0	76
1129	1	33706	6576	4122	1	1	0	76
1130	2	34339	7152	3217	1	0	0	76
1131	2	45648	8791	4733	0	1	0	76
1132	4	39904	8983	4514	1	0	1	76
1133	5	40350	8528	3442	1	0	0	76
1134	4	39616	7585	3743	1	0	0	76
1135	1	39609	8756	4898	0	1	0	76
1136	2	34558	7357	3714	0	0	1	76
1137	3	35006	8208	3475	1	1	0	76
1138	2	45131	10281	4450	1	1	1	76
1139	2	35596	8306	2909	1	0	0	76
1140	4	36864	7246	3390	0	1	0	76
1141	2	35545	7406	3432	1	0	0	76
1142	1	40178	8592	3998	0	0	0	76
1143	2	38794	6876	3673	1	1	0	76
1144	3	37777	7973	4482	0	0	0	76
1145	2	45513	7953	4168	1	1	0	76
1146	1	30465	6334	3271	1	1	0	77
1147	4	44480	8243	5096	0	0	0	77
1148	4	47904	9131	5174	1	1	0	77
1149	3	37901	7274	3680	0	1	0	77
1150	1	36410	7974	3921	1	1	0	77
1151	4	46768	9353	3647	1	0	0	77
1152	3	32525	6557	3507	1	0	0	77
1153	3	47208	8490	4083	1	0	0	77
1154	3	42397	8399	4605	0	0	0	77
1155	4	38852	8436	4373	1	0	0	77
1156	3	38243	8066	4154	0	0	0	78
1157	3	34045	7550	3288	0	0	0	78
1158	3	43907	9088	3439	1	0	0	78
1159	2	43422	8725	5400	1	1	0	78
1160	4	30406	6724	2520	1	0	0	78
1161	3	48700	8939	4829	0	0	1	78
1162	3	47368	8794	5121	0	0	0	78
1163	1	36790	8155	3487	1	1	0	78
1164	2	45474	9848	4938	0	1	0	78
1165	3	40582	8123	4647	1	1	0	78
1166	2	39241	8346	4259	1	0	0	78
1167	3	37719	7333	3260	0	1	0	78
1168	3	37602	8299	3536	0	1	1	78
1169	4	48589	9255	4763	0	1	0	78
1170	2	42812	8913	4515	1	1	0	78
1171	4	43776	8061	4124	0	0	0	79
1172	3	42350	7891	2531	1	1	0	79
1173	1	35839	7313	3735	1	1	0	79
1174	3	35029	6214	3954	1	0	0	79
1175	3	36496	6578	3875	1	1	0	79
1176	4	45333	9692	4795	1	0	0	79
1177	4	44264	8565	3908	1	1	0	79
1178	1	39692	8730	3288	0	0	0	79
1179	3	37926	8156	5104	1	1	1	79
1180	4	36938	8028	3427	0	0	0	79
1181	1	40615	8159	3504	1	1	0	79
1182	5	45047	8791	4586	1	0	0	79
1183	5	37670	7153	4263	0	0	0	79
1184	3	41708	8921	4321	0	0	0	79
1185	2	47236	10577	4388	1	1	0	79
1186	3	40796	9142	3982	0	0	0	79
1187	4	36617	6916	3675	0	0	1	79
1188	3	38692	7763	3867	1	0	0	79
1189	5	40716	8746	5411	1	0	0	79
1190	2	36745	7184	3736	1	0	1	79
1191	2	31220	6378	2996	0	1	0	80
1192	4	39039	8790	3926	0	0	0	80
1193	3	41340	9202	4769	1	1	0	80
1194	2	33987	6271	3116	0	0	0	80
1195	1	36215	7280	3903	1	1	0	80
1196	2	38623	6654	3551	1	0	0	80
1197	2	34922	7243	3670	0	1	0	80
1198	2	47278	10309	5533	1	1	0	80
1199	3	37518	7967	4751	0	0	0	80
1200	2	42623	9494	3752	1	0	0	80
1201	1	36068	7877	2545	1	0	0	81
1202	1	43294	8067	4251	0	1	0	81
1203	3	38274	7825	4428	1	0	0	81
1204	4	44565	9185	4084	0	0	0	81
1205	1	37549	7633	4217	1	1	0	81
1206	3	43198	8262	4529	1	0	0	81
1207	1	45225	9621	4311	1	0	0	81
1208	4	40781	7488	4508	0	0	0	81
1209	4	40475	6795	4903	1	0	0	81
1210	2	37974	7564	4487	1	0	0	81
1211	2	42611	8332	5125	0	1	0	81
1212	5	46212	8429	4445	1	1	0	81
1213	1	39957	7401	3780	0	0	0	81
1214	2	34936	6449	3934	1	0	0	81
1215	2	45773	9403	3695	1	1	0	81
1216	3	32502	6946	3003	1	0	0	82
1217	3	40950	8281	4367	1	1	0	82
1218	2	38883	8507	4772	1	0	1	82
1219	3	36644	7109	3611	0	0	0	82
1220	4	34302	7381	2491	0	1	0	82
1221	3	33947	6906	3175	0	0	1	82
1222	4	31302	6608	2499	0	1	0	82
1223	1	38333	7226	4433	1	0	0	82
1224	3	39751	8722	4476	1	1	0	82
1225	1	40241	8534	4672	1	1	0	82
1226	3	36092	7310	2681	1	0	0	82
1227	2	35973	8015	3806	0	0	0	82
1228	1	36041	7643	3866	0	0	0	82
1229	4	46408	10806	4251	0	1	1	82
1230	4	35219	7435	4877	0	0	0	82
1231	3	41022	8905	3132	1	0	0	82
1232	4	46024	8777	4545	1	0	0	82
1233	4	42728	8161	3827	0	0	0	82
1234	4	42754	8259	3677	1	1	0	82
1235	2	36220	7015	3325	1	0	0	82
1236	2	31788	5795	3465	1	1	0	83
1237	3	40216	8457	3851	1	1	1	83
1238	2	37332	7227	2711	1	1	0	83
1239	4	35137	8002	4478	1	0	1	83
1240	2	48181	9664	4269	1	0	0	83
1241	4	39405	8491	2925	1	1	0	83
1242	4	51806	11206	4232	0	0	0	83
1243	3	43526	8391	3369	0	0	0	83
1244	2	40350	6856	2866	1	1	0	83
1245	2	41444	8316	4938	1	0	0	83
1246	2	47640	10366	5259	0	0	0	84
1247	2	31107	6463	2775	1	1	1	84
1248	2	32168	7155	2607	0	1	0	84
1249	4	37834	8496	3131	1	0	0	84
1250	2	41710	8597	3919	0	0	0	84
1251	1	40663	8123	3487	1	1	0	84
1252	2	34430	6617	3210	0	1	0	84
1253	2	40047	7873	3599	1	0	0	84
1254	5	44731	9079	4807	1	0	0	84
1255	1	44967	9262	4310	0	0	1	84
1256	5	45990	8875	5576	1	0	0	84
1257	3	32884	5790	3065	0	0	0	84
1258	3	35170	6940	3798	0	0	0	84
1259	2	35013	7018	2984	1	0	0	84
1260	4	40301	7328	4310	1	0	0	84
1261	5	43408	8134	4677	1	0	0	85
1262	3	35239	7269	3093	1	0	0	85
1263	2	36967	6923	3977	0	0	1	85
1264	5	48066	10015	5314	1	0	0	85
1265	2	42074	8029	3966	1	1	0	85
1266	5	46296	9443	4422	1	1	1	85
1267	4	41465	7726	3181	1	1	0	85
1268	1	45003	9727	4903	1	0	0	85
1269	3	33158	6954	3779	0	0	0	85
1270	2	44192	9409	4129	1	1	0	85
1271	2	31346	6777	3873	1	1	0	85
1272	1	45630	8898	5495	1	0	0	85
1273	1	39111	7906	3999	1	1	0	85
1274	5	32996	6857	3148	1	0	0	85
1275	2	40045	8423	4212	0	1	0	85
1276	4	39039	7860	3463	0	1	0	85
1277	2	38528	6477	4443	1	1	0	85
1278	2	35536	6968	3076	0	1	0	85
1279	4	37812	8395	3838	1	0	1	85
1280	4	32565	6584	2747	0	1	0	85
1281	3	37418	8168	4462	1	0	0	86
1282	2	34191	7394	3740	1	0	0	86
1283	1	42949	9131	3957	1	0	1	86
1284	3	39309	8672	3575	1	1	0	86
1285	5	38453	7906	4410	0	1	0	86
1286	4	45382	9851	5539	0	1	1	86
1287	2	35256	6663	2270	0	0	0	86
1288	4	45452	8457	4507	1	1	0	86
1289	4	32911	6489	2377	1	1	0	86
1290	1	31182	5745	3712	0	1	0	86
1291	3	38876	8326	4825	1	0	0	87
1292	3	38281	7708	3500	1	0	0	87
1293	1	39962	7718	3869	0	0	0	87
1294	4	31499	6518	2337	1	1	0	87
1295	2	41712	8560	4425	1	1	0	87
1296	1	35882	7850	5203	1	1	0	87
1297	1	33021	6667	2826	1	0	0	87
1298	1	40264	8248	3706	1	0	0	87
1299	4	38620	7402	3872	0	1	0	87
1300	2	34427	6733	4004	1	1	0	87
1301	1	37830	7884	3520	0	1	0	87
1302	2	44054	9076	4496	0	0	0	87
1303	2	40562	8091	4081	1	1	0	87
1304	1	39003	8247	3090	0	0	0	87
1305	3	46968	9587	4590	0	1	0	87
1306	2	36598	7134	2992	1	1	0	88
1307	4	41898	9071	4327	0	0	0	88
1308	1	48903	10500	4662	1	0	0	88
1309	1	40476	8205	4026	0	1	0	88
1310	4	37603	8165	3705	1	0	0	88
1311	1	38007	8545	5132	0	1	0	88
1312	3	38333	7891	4363	0	0	0	88
1313	5	37282	7210	4142	1	0	0	88
1314	3	34325	6820	3114	0	0	0	88
